transaction_id;transaction_date;transaction_time;transaction_qty;store_id;product_id;customer_id;employee_id;payment_methods_id
1;01/01/2023;7:06:11;2;5;32;34196;3;3
2;01/01/2023;7:08:56;2;5;57;49859;4;3
3;01/01/2023;7:14:04;2;5;59;19895;4;3
4;01/01/2023;7:20:24;1;5;22;2248;3;2
5;01/01/2023;7:22:41;2;5;57;34793;4;2
6;01/01/2023;7:22:41;1;5;77;15355;3;2
7;01/01/2023;7:25:49;1;5;22;28410;4;3
8;01/01/2023;7:33:34;2;5;28;33006;4;1
9;01/01/2023;7:39:13;1;5;39;15678;3;3
10;01/01/2023;7:39:34;2;5;58;32549;4;3
11;01/01/2023;7:43:05;1;5;56;40385;3;1
12;01/01/2023;7:44:35;2;5;33;30159;3;1
13;01/01/2023;7:45:51;1;5;51;17602;4;1
14;01/01/2023;7:48:19;1;5;57;30940;3;1
15;01/01/2023;7:52:36;2;5;87;29761;3;3
16;01/01/2023;7:59:58;2;5;47;21239;4;1
17;01/01/2023;7:59:58;1;5;79;46867;4;3
18;01/01/2023;8:00:18;1;8;42;35684;6;3
19;01/01/2023;8:00:39;2;8;59;41781;6;3
20;01/01/2023;8:11:45;1;8;61;44786;6;2
21;01/01/2023;8:17:27;2;8;33;33687;6;1
22;01/01/2023;8:24:26;2;5;56;16369;3;1
23;01/01/2023;8:24:26;1;5;69;39713;4;1
24;01/01/2023;8:29:38;1;8;56;42895;6;2
25;01/01/2023;8:31:23;1;8;40;41880;5;1
26;01/01/2023;8:33:08;1;5;43;2064;3;2
27;01/01/2023;8:33:08;1;5;76;42410;3;2
28;01/01/2023;8:35:03;2;5;45;15243;4;1
29;01/01/2023;8:35:03;1;5;71;35857;3;2
30;01/01/2023;8:41:57;2;8;40;49380;6;2
31;01/01/2023;8:52:03;1;8;38;15936;6;1
32;01/01/2023;8:52:32;1;5;26;13278;4;3
33;01/01/2023;8:54:33;2;5;27;37958;3;2
34;01/01/2023;8:56:27;2;5;29;29760;4;1
35;01/01/2023;8:57:46;1;8;54;14119;6;2
36;01/01/2023;8:58:55;1;5;26;33929;3;1
37;01/01/2023;9:00:12;1;5;55;9778;3;3
38;01/01/2023;9:00:24;2;8;40;32356;5;3
39;01/01/2023;9:07:13;1;8;45;31990;6;1
40;01/01/2023;9:08:09;2;8;45;44173;6;3
41;01/01/2023;9:08:13;1;8;24;21624;6;2
42;01/01/2023;9:10:30;2;5;60;25504;3;1
43;01/01/2023;9:10:30;1;5;78;22935;4;3
44;01/01/2023;9:11:06;1;5;56;27914;4;3
45;01/01/2023;9:11:06;1;5;77;28957;4;2
46;01/01/2023;9:13:01;1;5;44;16282;3;3
47;01/01/2023;9:13:15;2;5;56;48823;4;3
48;01/01/2023;9:14:16;1;5;48;32028;4;2
49;01/01/2023;9:14:17;1;8;23;23893;5;1
